Team,Attack Performance,Defensive Performance,Overall Performance
Manchester City,2.0754497354497357,1.7465079365079368,1.9109788359788362
Liverpool,1.9784343434343432,1.578030303030303,1.7782323232323232
Arsenal,1.93968253968254,1.5086243386243388,1.7241534391534392
Tottenham,1.5499537037037039,1.4388425925925927,1.4943981481481483
Newcastle Utd,1.6408796296296297,1.2223148148148146,1.4315972222222222
Chelsea,1.4900888888888888,1.337822222222222,1.4139555555555554
Aston Villa,1.5368599033816426,1.2119806763285021,1.3744202898550724
Fulham,1.2713227513227514,1.3393650793650793,1.3053439153439155
West Ham,1.2195959595959596,1.1825757575757576,1.2010858585858586
Brighton,0.9943650793650792,1.247222222222222,1.1207936507936507
Crystal Palace,1.1250462962962962,1.1140277777777776,1.1195370370370368
Manchester Utd,1.0761965811965812,1.1356410256410256,1.1059188034188034
Brentford,1.1698666666666666,1.0306666666666668,1.1002666666666667
Everton,1.0394685990338164,1.1246859903381643,1.0820772946859902
Wolves,0.9696888888888888,1.1654222222222224,1.0675555555555556
Bournemouth,1.0953418803418804,0.9934188034188033,1.044380341880342
Luton Town,0.9149777777777778,0.984488888888889,0.9497333333333333
Nott'ham Forest,0.9192222222222224,0.8803703703703704,0.8997962962962964
Burnley,0.7436111111111111,0.9717063492063492,0.8576587301587302
Sheffield Utd,0.5759259259259258,0.760074074074074,0.6679999999999999
